Plot	EP_Plotid	Plotid	Exploratory	soilTypeWRB	LUI (landuseindex)	landuse	animals	cuts	fertilisation	grasslandproductivity_biomass_g	Total_C	Inorganic_C	Organic_C	Total_N	CN_ratio	pH	Pmic	Clay	Fine_Silt	Medium_Silt	Coarse_Silt	Fine_Sand	Medium_Sand	Coarse_Sand	Delta_13C	Fine_Roots_Biomass	Coarse_Roots_Biomass	soil_moisture	swc	NH4	NO3	Nmin	EIC	EOC	EN	Cmic	Nmic	Cmic_Nmic	Lumbricidae	Pauropoda	Symphyla	Chilopoda	Diplopoda	roots_Total_C	roots_Total_N	roots_CN_ratio	roots_Mass_loss_April_2012	roots_Mass_loss_October_2012	Res_14	plant_n	plant_c	plant_p	plant_k	plant_ca	plant_mg
AG01	AEG01	A19557	A	Leptosol	1,76	meadow	no_animals	2	yes	250	85,95	0,96	84,98	8,71	9,76	6,53	41,65	64,3	13,2	10,7	8,5	1,7	0,7	0,9	-28,03	2,49		38,58024691	72,16035635	13,50325926	28,63067901	42,13393827	25,28137857	163,3045019	57,55290836	929,1079002	148,8731519	6,240936586	637	64	764	159	32	40,27	1,403	28,69	11,8	18,03333333	132,2096	2,45615	44,441	0,32132	2,72949	0,89313	0,2167
AG02	AEG02	A39275	A	Leptosol	3,12	meadow	no_animals	3	yes	234	72,92	1,87	71,04	7,49	9,48	6,75	37,08	51,2	14,3	17,7	9,1	4,8	2,1	0,8	-27,26	0,62	1,56	39,31896781	71,77773534	5,249538707	45,45699282	50,70653152	13,66055187	131,6971015	55,77456951	938,423275	153,9089277	6,097263421	286	573	446	64	16	39,3	0,961	40,86	17,7	32,26666667	146,2181	2,97239	44,231	0,3412	3,0513	0,78881	0,2175
AG03	AEG03	A48112	A	Leptosol	2,03	meadow	no_animals	2	yes	92	59,81	0,28	59,53	5,83	10,21	6,22	56,94	67,2	8,7	12,5	8,6	2,4	0,6	0	-27,9	1,13		56,06451613	64,07606449	30,93877793	8,148997489	39,08777542	0	142,376326	55,63916435	798,8861078	113,2182946	7,056157407	541	0	64	0	16	40,28	0,941	42,8	10,533	14,63333333	47,67428	2,40623	44,823	0,27075	1,6943	0,94512	0,24691
AG04	AEG04	A31160	A	Leptosol	1,69	mowing_meadow	cattle	1	yes	240	44,53	0,22	44,31	4,83	9,17	5,08	49,28	48,8	10,8	16	15,9	5,4	2,4	0,7	-27,85	0,49	0,03	32,63102449	75,39714059	20,47136768	7,857563381	28,32893106	0	126,0521099	41,84685852	543,4150074	64,94855383	8,366853076	923	0	382	16	0	41,82	0,954	43,79	11,7	30,43333333	96,26097	2,43229	44,749	0,29391	1,78851	0,49834	0,20025
AG05	AEG05	A34237	A	Leptosol	1,78	mowing_meadow	cattle.horses	1	yes	296	90,77	0,57	90,19	8,72	10,34	6,14	56,3	36,5	12,7	16,3	22,8	11	0,7	0	-27,63	2,11		56,95625759	63,71201858	18,43294289	40,3126452	58,74558809	0	222,7375323	81,47191591	955,5888248	158,6473373	6,023352429	764	64	350	111	16	44,71	1,056	42,3	15,467	30,93333333	164,7652	2,70939	44,945	0,31138	1,99238	0,63723	0,24123
AG06	AEG06	A34651	A	Leptosol	2,47	mowing_meadow	cattle.horses	1	yes	209	83,14	0,4	82,74	8,21	10,07	5,87	43,41	58,8	8,6	17,3	12,1	2,7	0,5	0	-26,42	1,81	0,05	44,90797546	69,00931414	23,30699877	30,50602699	53,81302577	0	159,9012904	64,80740057	989,5675534	155,1548735	6,377934068	127	541	414	0	0	43,95	0,921	47,68	14,267	24,93333333	129,96665	2,55365	45,165	0,2564	1,35189	0,83346	0,28998
AG07	AEG07	A24854	A	Leptosol	0,58	pasture	sheep	0	no	13	86,32	33,51	52,8	4,64	11,37	7,11	34,57	38,5	13,1	16,3	13,3	9,3	9	0,5	-27,39	1,4	0,06	31,24685772	76,19230033	25,00363866	3,679622771	28,68326143	40,46540119	160,1144987	44,77906722	611,141106	85,64183795	7,136011097	318	2610	637	16	0	44	0,579	75,98	14,6	22,7	103,60317	1,53986	45,019	0,13605	0,65424	0,67765	0,20174
AG08	AEG08	A42131	A	Leptosol	1,35	pasture	sheep	0	no	100	86,63	0,48	86,14	7,68	11,21	6,52	57,56	67,3	13,2	12,4	6,3	0,8	0	0	-27,1	2,98	0,24	36,89956332	73,04625199	40,22656769	4,167222707	44,39379039	0	223,2729554	72,61231038	914,7906688	135,2691783	6,762742851	223	32	159	16	207	41,81	0,706	59,14	13,033	19,66666667	186,10378	1,90827	45,548	0,18172	1,73469	0,46847	0,17263
AG09	AEG09	A43687	A	Leptosol	0,65	pasture	sheep	0	no	32	71,21	0,93	70,27	5,9	11,91	6,7	38,98	55,6	13,4	14,4	13,9	1,6	1,1	0	-27,3	2,59	0,03	48,36118252	67,40307559	33,81330687	1,496950992	35,31025787	4,386539707	180,0129746	60,24710093	650,6298136	95,85743027	6,787473978	414	286	668	207	80	39,39	0,704	55,93	13,3	22,93333333	71,6302	1,81298	45,41	0,1727	1,19563	0,6776	0,21056
AG10	AEG10	A2277	A	Leptosol	0,93	meadow	no_animals	1	no	102	94,16	0,45	93,71	9,1	10,29	6,08	52,42	64,7	11,7	12,7	8,3	1,4	0,7	0,5	-28,08	5,66	0,59	108,5558583	47,94878495	39,33242887	9,215548993	48,54797786	0	221,1596968	77,46713862	1159,162034	177,7073659	6,522869932	541	1114	923	239	80	43,08	1	43,06	15,1	21,9	160,01758	1,83286	44,816	0,21011	1,30541	0,78093	0,24113
AG11	AEG11	A20470	A	Leptosol	1,9	meadow	no_animals	2	yes	169	62,91	0,31	62,61	6,02	10,39	5,49	52,62	64,3	13,9	9,6	9,2	2,2	0,4	0,4	-27,95	1,76		56,61509315	63,85080645	32,76437666	11,20640268	43,97077934	0	136,5718715	60,64701349	750,1536948	96,37430748	7,783751857	64	0	0	32	0	42,95	0,89	48,22	NA	21,13333333	126,98314	2,24375	44,694	0,25968	1,60643	0,80074	0,24438
AG12	AEG12	A20771	A	Leptosol	1,75	meadow	no_animals	2	yes	228	69,15	1,62	67,54	6,59	10,25	6,57	8,52	43,6	21,3	18,2	11,7	2,8	2,1	0,3	-28,06	1,5	0,35	35,66481994	73,71107708	16,24194358	21,86852038	38,11046396	0,285435528	139,7043832	48,14494299	623,4971455	100,2657366	6,218446766	318	1783	859	32	0	43,54	0,778	55,9	13,6	22,25	112,54481	2,05529	44,946	0,32269	2,43948	0,97088	0,26692
AG13	AEG13	A22610	A	Leptosol	1,75	meadow	no_animals	2	yes	297	68,88	0,44	68,43	6,58	10,39	5,95	39,19	64,3	10	12,3	8,8	2,6	1,3	0,7	-27,89	4,3	0,13	37,78244877	72,57818459	18,59306012	20,76784802	39,36090814	14,4138849	193,956568	55,17011643	692,3731961	91,08823819	7,601126225	637	668	64	64	16	42,96	1,161	36,98	12,267	22,2	159,16822	1,79159	44,503	0,29055	2,1439	0,52646	0,19205
AG14	AEG14	A46088	A	Leptosol	2,22	meadow	no_animals	2	yes	210	62,33	1,06	61,27	6,07	10,09	6,71	44,78	52,1	11,4	18,2	15,7	2,2	0,4	0	-27,67	0,89	0,23	34,66334165	74,25925926	13,18975741	21,30446566	34,49422307	10,75119929	172,8336125	49,7556549	694,7588792	112,01791	6,202212476	605	509	1592	32	0	41,9	0,948	44,17	13,8	22,1	128,68095	1,96942	44,246	0,26214	2,13893	0,984	0,2664
AG15	AEG15	A35767	A	Leptosol	2,59	meadow	no_animals	3	yes	264	63,9	0,28	63,62	6,51	9,77	5,68	48,43	64,2	10	14,6	9,4	1,5	0,3	0	-28,12	3,17		35,74203574	73,66914711	14,37459486	18,52797667	32,90257153	0	133,716971	47,79900277	743,9153274	90,29296211	8,238907108	637	32	955	80	16	40,71	0,704	57,76	11,833	32,73333333	91,0422	2,06365	44,949	0,29392	2,09919	0,65437	0,20073
